≠,№,Показатели,Считаем сами,Учет населения,Баллы за единицу,Точная формулировка вопроса,Комментарии
,105,      1 место в Премьер лиге,   да,,"1,7","Женская команда, представляющая регион заняла 1 место в Премьер лиге",
,106,      3 место в Еврокубке ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 3 место в Еврокубке ФИБА",
,107,      2 место в Еврокубке ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 2 место в Еврокубке ФИБА",
,108,      1 место в Еврокубке ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 1 место в Еврокубке ФИБА",
,109,      3 место в Евролиге ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 3 место в Евролиге ФИБА",
,110,      2 место в Евролиге ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 2 место в Евролиге ФИБА",
,111,      1 место в Евролиге ФИБА,   да,,"1,7","Женская команда, представляющая регион заняла 1 место в Евролиге ФИБА",
5х5,5,Резерв 5х5,,,,,
,112,"   Воспитанник из региона, играющий за проф команды – мужчины",,да,"1,7",,Если числился в спортивной школе региона не менее 3 лет. Проверяем только игроков до 2000 гр включительно
,113,"   Воспитанник из региона, играющий за проф команды – женщины",,да,"1,08",,Если числился в спортивной школе региона не менее 3 лет. Проверяем только игроков до 2000 гр включительно
,,   Первенство России количество команд мужчины,,,,,
,114,      Команды в ПР юноши до 14-16 лет (межрегиональный этап),   да,   да,"1,8","Общее колличество мужских команд, представляющих регион в Первенстве России, участвующих в 3 категориях от 14 до 16 лет",
,115,      Команды в ПР юноши до 14-16 лет (1-й раунд полуфинала),   да,   да,"1,8",,
,116,      Команды в ПР юноши до 14-16 лет (2-й раунд полуфинала),   да,   да,"1,8",,
,117,      Команды в ПР юноши до 14-16 лет (3-й раунд полуфинала),   да,   да,2,,
,118,      Команды в ПР юноши до 14-16 лет (финал),   да,   да,2,,
,119,      Команды в ПР Юноши до 17-18 лет (межрегиональный этап),   да,   да,2,"Общее колличество мужских команд, представляющих регион в Первенстве России, участвующих в 2 категориях от 17 до 18 лет",
,121,      Команды в ПР Юноши до 17-18 лет (полуфинал),   да,   да,2,,
,123,      Команды в ПР Юноши до 17-18 лет (финал),   да,   да,2,,
,,   ДЮБЛ количество команд мужчины,,,,,
,124,      Команды в предварительном этапе ДЮБЛ,   да,   да,2,"Колличество мужских команд, представляющих регион в Первенстве России, участвующих в категории до 19 лет (ДЮБЛ)",
,128,      Команды в финале ДЮБЛ,   да,   да,2,,
,,   ЕМЛ ВТБ количество команд мужчины,,,,,
,129,      Команды в регулярном чемпионате  до 21 года (ЕМЛ ВТБ) ,   да,   да,2,"Участие мужской команды, представляющих регион в Первенстве России, в категории до 21 года (ЕМЛ ВТБ)",
,133,      Команды в финале чемпионата до 21 года ЕМЛ ВТБ,   да,   да,2,,
,,   Первенство России количество команд женщины,,,,,
,134,      Команды в ПР девушки до 14-16 лет  (межрегиональный этап),   да,да,2,"Общее колличество женских команд, представляющих регион в Всероссийских соревнованиях , участвующих в 3 категориях от 14 до 16 лет",
,135,      Команды в ПР девушки до 14-16 лет  (1-й раунд полуфинала),   да,да,2,,
,136,      Команды в ПР девушки до 14-16 лет  (2-й раунд полуфинала),   да,да,2,,
,137,      Команды в ПР девушки до 14-16 лет (3-й раунд полуфинала),   да,да,2,,
,138,      Команды в ПР девушки до 14-16 лет  (финал),   да,да,2,,
,139,      Команды в ПР юниорки до 17-18 лет  (межрегиональный этап),   да,да,2,"Общее колличество женских команд, представляющих регион в Первенстве России, участвующих в 2 категориях от 17 до 18 лет",
,141,      Команды в ПР юниорки до 17-18 лет  (полуфинал),   да,да,2,,
,143,      Команды в ПР юниорки до 17-18 лет  (финал),   да,да,2,,
,,   ДЮБЛ количество команд женщины,,,,,
,144,      Команды в предварительном этапе ДЮБЛ,   да,да,"2,4","Колличество женских команд, представляющих регион в Первенстве России, участвующих в категории до 19 лет (ДЮБЛ)",
,148,      Команды в финале ДЮБЛ,   да,да,"2,4",,
,,   Призовые места в Первенстве России мужчины,,,,,
,149,      3 место в ПР юноши до 14 лет,   да,,"2,4",,
,150,      2 место в ПР юноши до 14 лет,   да,,"2,4",,
,151,      1 место в ПР юноши до 14 лет,   да,,"2,4",,
,152,      3 место в ПР юноши до 15 лет,   да,,2,,
,153,      2 место в ПР юноши до 15 лет,   да,,"2,5",,
,154,      1 место в ПР юноши до 15 лет,   да,,"2,5",,
,155,      3 место в ПР юноши до 16 лет,   да,,"2,5",,
,156,      2 место в ПР юноши до 16 лет,   да,,"2,5",,
,157,      1 место в ПР юноши до 16 лет,   да,,"2,5",,
,158,      3 место в ПР юноши до 17 лет,   да,,"2,5",,
,159,      2 место в ПР юноши до 17 лет,   да,,"2,5",,
,160,      1 место в ПР юноши до 17 лет,   да,,"2,5",,
,161,      3 место в ПР юноши до 18 лет,   да,,"2,5",,
